"HYRIV_ID","HYBAS_L08","HYBAS_L12"
20101362,2080030660,2120030660
20101425,2080036490,2120036560
20101426,2080036490,2120036560
20101445,2080029640,2120029640
20101496,2080036490,2120036560
20101499,2080036410,2120036430
20101500,2080036410,2120036430
20101518,2080030660,2120030660
20101596,2080036490,2120036560
20101601,2080036410,2120036430
20101674,2080036410,2120036430
20101675,2080036410,2120036430
20101695,2080030660,2120030660
20101755,2080036410,2120036430
20101756,2080036410,2120036430
20101932,2080030660,2120030660
20102059,2080036120,2120036180
20102060,2080036490,2120036560
20102061,2080036410,2120036430
20102062,2080036410,2120036430
20102145,2080036490,2120036560
20102146,2080036410,2120036430
20102147,2080036410,2120036430
20102167,2080030660,2120030700
20102168,2080030660,2120030700
20102231,2080036410,2120036430
20102232,2080036410,2120036430
20102250,2080030660,2120030660
20102251,2080030660,2120030660
20102252,2080029600,2120029600
20102301,2080036490,2120036560
20102324,2080030660,2120030680
20102372,2080036120,2120036180
20102511,2080036120,2120036180
20102519,2080036490,2120036540
20102702,2080030660,2120030700
20102703,2080030660,2120030700
20102704,2080030660,2120030700
20102705,2080030660,2120030700
20102854,2080036120,2120036180
20102855,2080036120,2120036180
20102856,2080036120,2120036180
20102857,2080036120,2120036230
20102858,2080036120,2120036230
20102861,2080036490,2120036540
20102952,2080036120,2120036230
20102955,2080036490,2120036540
20102956,2080036490,2120036540
20103025,2080036120,2120036180
20103026,2080036120,2120036180
20103027,2080036120,2120036180
20103028,2080036490,2120036560
20103176,2080036120,2120036180
20103177,2080036120,2120036230
20103178,2080036120,2120036230
20103179,2080036490,2120036560
20103180,2080036490,2120036560
20103182,2080036410,2120036430
20103193,2080030660,2120030700
20103240,2080036120,2120036180
20103241,2080036120,2120036180
20103242,2080036120,2120036230
20103319,2080036120,2120036180
20103320,2080036490,2120036560
20103392,2080036120,2120036180
20103460,2080036490,2120036540
20103515,2080036120,2120036180
20103516,2080036120,2120036180
20103517,2080036120,2120036180
20103518,2080036490,2120036540
20103519,2080036410,2120036410
20103572,2080036120,2120036180
20103573,2080036120,2120036180
20103574,2080036120,2120036230
20103575,2080036120,2120036230
20103576,2080036490,2120036540
20103577,2080036410,2120036430
20103667,2080036120,2120036180
20103668,2080036120,2120036180
20103669,2080036120,2120036230
20103670,2080036120,2120036230
20103671,2080036120,2120036230
20103740,2080036120,2120036180
20103741,2080036490,2120036540
20103758,2080030720,2120030730
20103818,2080036120,2120036180
20103819,2080036120,2120036180
20103820,2080036120,2120036230
20103897,2080036120,2120036230
20103970,2080036120,2120036180
20103971,2080036120,2120036180
20103972,2080036410,2120036410
20103973,2080036410,2120036410
20104046,2080036120,2120036180
20104047,2080036120,2120036180
20104048,2080036120,2120036180
20104049,2080036120,2120036180
20104050,2080036410,2120036410
20104147,2080036120,2120036180
20104148,2080036120,2120036180
20104149,2080036120,2120036180
20104150,2080036120,2120036180
20104151,2080036490,2120036540
20104167,2080030660,2120030700
20104238,2080036120,2120036180
20104239,2080036120,2120036180
20104240,2080036120,2120036180
20104324,2080036120,2120036180
20104325,2080036120,2120036180
20104409,2080036120,2120036180
20104410,2080036120,2120036230
20104411,2080036120,2120036230
20104412,2080036120,2120036230
20104413,2080036490,2120036540
20104431,2080030720,2120030720
20104471,2080036120,2120036230
20104555,2080036120,2120036180
20104556,2080036120,2120036180
20104557,2080036120,2120036180
20104558,2080036120,2120036180
20104559,2080036120,2120036230
20104560,2080036120,2120036230
20104561,2080036120,2120036230
20104648,2080036120,2120036180
20104649,2080036120,2120036230
20104711,2080036120,2120036180
20104712,2080036120,2120036180
20104713,2080036120,2120036180
20104714,2080036120,2120036230
20104847,2080036120,2120036180
20104848,2080036120,2120036180
20104849,2080036120,2120036180
20104850,2080036120,2120036180
20104852,2080036120,2120036250
20104915,2080036490,2120036540
20104916,2080036490,2120036540
20104991,2080036120,2120036230
20104992,2080036120,2120036230
20104993,2080036490,2120036540
20104994,2080036410,2120036410
20104995,2080036410,2120036410
20104996,2080036410,2120036410
20104997,2080036410,2120036410
20105092,2080036120,2120036180
20105095,2080036490,2120036540
20105096,2080036490,2120036540
20105097,2080036410,2120036410
20105147,2080036120,2120036180
20105148,2080036120,2120036230
20105149,2080036490,2120036540
20105150,2080036490,2120036540
20105212,2080036120,2120036180
20105213,2080036120,2120036180
20105214,2080036120,2120036180
20105215,2080036120,2120036230
20105277,2080036120,2120036180
20105278,2080036120,2120036180
20105279,2080036120,2120036180
20105280,2080036120,2120036180
20105281,2080036120,2120036230
20105282,2080036120,2120036230
20105284,2080036410,2120036410
20105350,2080036120,2120036180
20105406,2080036120,2120036180
20105475,2080036120,2120036180
20105553,2080036120,2120036160
20105554,2080036120,2120036230
20105558,2080036120,2120036250
20105643,2080036410,2120036410
20105795,2080036120,2120036230
20105878,2080036120,2120036160
20105879,2080036120,2120036180
20106013,2080036120,2120036160
20106014,2080036120,2120036180
20106015,2080036120,2120036180
20106018,2080036370,2120036370
20106157,2080036120,2120036160
20106158,2080036120,2120036180
20106159,2080036120,2120036230
20106161,2080036370,2120036370
20106233,2080036120,2120036230
20106234,2080036370,2120036370
20106320,2080036120,2120036160
20106321,2080036120,2120036230
20106396,2080036120,2120036230
20106397,2080036120,2120036230
20106400,2080036350,2120036350
20106401,2080036370,2120036370
20106471,2080036120,2120036170
20106475,2080036120,2120036270
20106564,2080036120,2120036170
20106565,2080036120,2120036230
20106568,2080036370,2120036370
20106641,2080036120,2120036160
20106642,2080036120,2120036170
20106643,2080036120,2120036170
20106644,2080036120,2120036170
20106647,2080036370,2120036370
20106648,2080036370,2120036370
20106666,2080029520,2120029540
20106710,2080036120,2120036170
20106715,2080036370,2120036370
20106782,2080036120,2120036230
20106785,2080036120,2120036270
20106787,2080036370,2120036370
20106788,2080036370,2120036370
20106852,2080036120,2120036160
20106853,2080036120,2120036170
20106856,2080036370,2120036370
20106857,2080036370,2120036390
20106941,2080036120,2120036160
20106942,2080036120,2120036170
20106943,2080036120,2120036230
20106946,2080036370,2120036370
20106947,2080036370,2120036390
20106948,2080036370,2120036390
20106997,2080036120,2120036160
20106998,2080036120,2120036160
20106999,2080036120,2120036170
20107000,2080036120,2120036170
20107055,2080036120,2120036160
20107056,2080036120,2120036210
20107122,2080036120,2120036160
20107123,2080036120,2120036170
20107124,2080036120,2120036170
20107125,2080036120,2120036170
20107126,2080036120,2120036170
20107187,2080036120,2120036160
20107188,2080036120,2120036160
20107189,2080036120,2120036160
20107190,2080036120,2120036170
20107191,2080036120,2120036170
20107192,2080036120,2120036170
20107193,2080036120,2120036230
20107194,2080036370,2120036370
20107195,2080036370,2120036370
20107258,2080036120,2120036170
20107259,2080036120,2120036170
20107260,2080036370,2120036370
20107328,2080036120,2120036160
20107329,2080036120,2120036170
20107330,2080036120,2120036170
20107331,2080036120,2120036210
20107333,2080036350,2120036350
20107334,2080036350,2120036350
20107335,2080036350,2120036350
20107393,2080036120,2120036170
20107394,2080036120,2120036170
20107395,2080036120,2120036170
20107398,2080036370,2120036370
